DATE,HOUR,SKILL,CAMPAIGN,DISPOSITION,INTERACTIONS,CHAT QUEUE TIME,HANDLE TIME,AFTER CHAT WORK
2025/04/16,00:00,Inbound Sales - Chat,Chat_DreamCloud,Sales - Sellable - Not Sold,1,00:00:06,00:21:32,00:00:00
2025/04/16,00:00,Inbound Sales - Chat,Chat_Nectar,Sales - Sellable - Not Sold,1,00:00:05,00:54:52,00:07:16
2025/04/16,00:00,Inbound Sales - Chat,Chat_DreamCloud,Product Support,1,00:00:05,00:04:48,00:00:09
2025/04/16,00:00,Inbound Sales - Chat,Chat_DreamCloud,Product Support,1,00:00:05,00:29:04,00:05:05
2025/04/16,00:00,Pre-Transit_Cancellations - Chat,Chat_Cloverlane,Cancel - No Longer Need,1,00:00:06,00:04:31,00:02:34
2025/04/16,00:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Post-Order Questions,1,00:00:04,00:11:30,00:00:11
2025/04/16,00:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Modify_Exchange Order,1,00:00:04,00:24:47,00:02:14
2025/04/16,00:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:05,00:01:09,00:01:05
2025/04/16,00:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Unresolved Interaction,1,00:00:02,00:02:43,00:01:58
2025/04/16,00:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:05,00:04:03,00:01:07
2025/04/16,01:00,Delivered - Chat,Chat_Nectar,Transit Damage,1,00:00:04,00:17:45,00:00:00
2025/04/16,01:00,Inbound Sales - Chat,Chat_DreamCloud,Unresolved Interaction,1,00:00:03,00:11:09,00:00:09
2025/04/16,01:00,Pre-Transit_Cancellations - Chat,Chat_Nectar,Post-Order Questions,1,00:00:03,00:06:14,00:01:01
2025/04/16,02:00,Inbound Sales - Chat,Chat_Nectar,Unresolved Interaction,1,00:00:05,00:03:10,00:02:47
2025/04/16,02:00,Inbound Sales - Chat,Chat_Nectar,Amazon_Retail,1,00:00:06,00:17:26,00:00:00
2025/04/16,02:00,Inbound Sales - Chat,Chat_Nectar,Product Support,1,00:00:04,00:06:43,00:00:11
2025/04/16,03:00,Early Returns - Chat,Chat_Nectar,Post-Order Questions,1,00:00:05,00:12:03,00:06:12
2025/04/16,03:00,In Transit - Chat,Chat_Nectar,Unresolved Interaction,1,00:00:03,00:03:46,00:00:48
