DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/04/09,00:00,In Transit - Voice,3,00:00:32.935,100.00%,00:01:37,00:19:09,0
2025/04/09,00:00,Pre-Transit_Cancellations - Voice,1,00:00:02.127,100.00%,00:03:49,00:11:34,0
2025/04/09,01:00,Delivered - Voice,1,00:00:01.398,100.00%,00:01:59,00:14:37,0
2025/04/09,01:00,Early Returns - Voice,1,00:00:01.711,100.00%,00:01:47,00:38:31,0
2025/04/09,01:00,Pre-Transit_Cancellations - Voice,1,00:00:01.995,100.00%,00:02:05,00:07:15,0
2025/04/09,02:00,Early Returns - Voice,2,00:00:01.079,100.00%,00:02:56,00:36:58,0
2025/04/09,03:00,Delivered - Voice,1,00:00:01.443,100.00%,00:01:39,00:08:40,0
2025/04/09,05:00,In Transit - Voice,1,00:00:01.334,100.00%,00:01:08,00:07:44,0
2025/04/09,06:00,Early Returns - Voice,1,00:00:01.713,100.00%,00:02:57,00:49:46,0
2025/04/09,06:00,In Transit - Voice,3,00:00:01.326,100.00%,00:02:33,00:04:11,0
2025/04/09,06:00,Pre-Transit_Cancellations - Voice,1,00:00:01.950,100.00%,00:00:41,00:19:16,0
2025/04/09,07:00,In Transit - Voice,2,00:00:01.300,100.00%,00:03:01,00:07:27,0
2025/04/09,07:00,Pre-Transit_Cancellations - Voice,1,00:00:02.065,100.00%,00:00:55,00:05:51,0
2025/04/09,08:00,Delivered - Voice,3,00:00:06.252,100.00%,00:00:53,00:15:48,0
2025/04/09,08:00,Early Returns - Voice,5,00:00:01.711,100.00%,00:01:35,00:13:18,0
2025/04/09,08:00,In Transit - Voice,5,00:00:01.342,100.00%,00:02:14,00:11:52,0
2025/04/09,08:00,Pre-Transit_Cancellations - Voice,2,00:00:10.840,100.00%,00:00:59,00:10:10,0
2025/04/09,09:00,Delivered - Voice,12,00:00:01.476,100.00%,00:02:15,00:16:49,0
2025/04/09,09:00,Early Returns - Voice,16,00:00:01.645,100.00%,00:01:24,00:11:59,0
2025/04/09,09:00,EOT Delivered - Voice,4,00:00:01.225,100.00%,00:01:53,00:09:08,0
2025/04/09,09:00,In Transit - Voice,16,00:00:01.337,100.00%,00:01:55,00:09:42,0
2025/04/09,09:00,Pre-Transit_Cancellations - Voice,3,00:00:08.151,100.00%,00:01:16,00:26:13,0
2025/04/09,10:00,Delivered - Voice,12,00:01:16.461,81.82%,00:02:05,00:12:11,0
2025/04/09,10:00,Early Returns - Voice,24,00:00:28.067,90.91%,00:02:02,00:11:44,1
2025/04/09,10:00,EOT Delivered - Voice,10,00:00:26.343,90.00%,00:02:19,00:14:27,0
2025/04/09,10:00,In Transit - Voice,17,00:00:36.941,82.35%,00:02:25,00:14:35,1
2025/04/09,10:00,Pre Transit - Voice,4,00:01:46.043,50.00%,00:01:29,00:11:17,0
2025/04/09,10:00,Pre-Transit_Cancellations - Voice,4,00:00:09.189,100.00%,00:01:25,00:21:34,0
2025/04/09,11:00,Delivered - Voice,13,00:00:26.342,100.00%,00:01:15,00:13:47,0
2025/04/09,11:00,Early Returns - Voice,12,00:00:17.920,91.67%,00:01:50,00:18:28,0
2025/04/09,11:00,EOT Delivered - Voice,5,00:00:22.004,100.00%,00:02:33,00:24:06,0
2025/04/09,11:00,In Transit - Voice,19,00:00:18.444,94.74%,00:02:08,00:15:30,0
2025/04/09,11:00,Pre Transit - Voice,2,00:00:01.387,100.00%,00:00:45,00:19:53,0
2025/04/09,11:00,Pre-Transit_Cancellations - Voice,10,00:00:11.373,100.00%,00:01:48,00:12:31,0
2025/04/09,12:00,Delivered - Voice,13,00:00:40.556,83.33%,00:01:43,00:18:37,1
2025/04/09,12:00,Early Returns - Voice,18,00:01:01.391,86.67%,00:02:13,00:14:19,0
2025/04/09,12:00,EOT Delivered - Voice,4,00:00:11.210,100.00%,00:02:45,00:15:41,0
2025/04/09,12:00,In Transit - Voice,17,00:00:35.170,88.24%,00:02:06,00:10:54,0
2025/04/09,12:00,Pre Transit - Voice,2,00:01:52.147,0.00%,00:03:53,00:07:29,0
2025/04/09,12:00,Pre-Transit_Cancellations - Voice,2,00:00:21.603,100.00%,00:02:22,00:10:39,0
2025/04/09,13:00,Delivered - Voice,17,00:00:18.158,100.00%,00:02:12,00:12:37,0
2025/04/09,13:00,Early Returns - Voice,11,00:00:05.393,100.00%,00:01:34,00:18:48,0
2025/04/09,13:00,EOT Delivered - Voice,10,00:00:39.178,77.78%,00:02:07,00:16:52,0
2025/04/09,13:00,In Transit - Voice,26,00:00:26.399,87.50%,00:02:04,00:11:19,0
2025/04/09,13:00,Pre Transit - Voice,3,00:00:30.969,100.00%,00:03:15,00:12:53,0
2025/04/09,13:00,Pre-Transit_Cancellations - Voice,9,00:00:55.090,75.00%,00:01:38,00:13:05,0
2025/04/09,14:00,Delivered - Voice,12,00:01:03.868,75.00%,00:02:19,00:13:23,0
2025/04/09,14:00,Early Returns - Voice,25,00:00:24.537,95.83%,00:02:16,00:18:41,0
2025/04/09,14:00,EOT Delivered - Voice,7,00:00:56.587,83.33%,00:01:24,00:20:24,0
2025/04/09,14:00,In Transit - Voice,27,00:00:23.502,92.31%,00:02:26,00:13:05,1
2025/04/09,14:00,Pre Transit - Voice,1,00:00:59.990,,00:01:55,00:10:45,0
2025/04/09,14:00,Pre-Transit_Cancellations - Voice,6,00:01:18.550,100.00%,00:01:21,00:10:15,0
2025/04/09,15:00,Delivered - Voice,8,00:00:38.188,100.00%,00:02:29,00:12:15,0
2025/04/09,15:00,Early Returns - Voice,17,00:00:50.986,87.50%,00:02:07,00:15:47,0
2025/04/09,15:00,EOT Delivered - Voice,8,00:01:45.779,71.43%,00:01:33,00:14:40,0
2025/04/09,15:00,In Transit - Voice,30,00:00:27.508,86.67%,00:02:15,00:15:51,1
2025/04/09,15:00,Pre Transit - Voice,1,00:00:01.358,100.00%,00:04:24,00:08:19,0
2025/04/09,15:00,Pre-Transit_Cancellations - Voice,10,00:00:37.024,88.89%,00:01:26,00:09:05,0
2025/04/09,16:00,Delivered - Voice,13,00:00:01.179,100.00%,00:02:11,00:15:44,0
2025/04/09,16:00,Early Returns - Voice,19,00:00:07.338,100.00%,00:02:13,00:14:28,0
2025/04/09,16:00,EOT Delivered - Voice,6,00:00:01.494,100.00%,00:02:02,00:12:04,0
2025/04/09,16:00,In Transit - Voice,22,00:00:06.931,95.45%,00:02:06,00:10:50,0
2025/04/09,16:00,Pre Transit - Voice,2,00:00:41.573,100.00%,00:04:05,00:13:36,0
