DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2025/04/14,00:00,Inbound Sales - Voice,6,00:01:47.869,20.00%,00:01:38,00:06:25,1
2025/04/14,02:00,Inbound Sales - Voice,1,00:00:01.557,100.00%,00:02:12,00:09:08,0
2025/04/14,04:00,Inbound Sales - Voice,1,00:00:01.559,100.00%,00:01:54,00:34:31,0
2025/04/14,07:00,Inbound Sales - Voice,1,00:00:01.563,100.00%,00:02:52,00:40:29,0
2025/04/14,08:00,Inbound Sales - Voice,9,00:00:47.914,62.50%,00:02:08,00:16:59,0
2025/04/14,09:00,Inbound Sales - Voice,12,00:00:45.247,70.00%,00:02:10,00:11:12,0
2025/04/14,10:00,Inbound Sales - Voice,27,00:02:28.135,31.58%,00:01:35,00:13:39,3
2025/04/14,11:00,Inbound Sales - Voice,15,00:01:00.879,46.67%,00:01:22,00:10:50,0
2025/04/14,12:00,Inbound Sales - Voice,7,00:00:48.845,85.71%,00:01:27,00:20:59,0
2025/04/14,13:00,Inbound Sales - Voice,35,00:03:39.086,10.00%,00:01:40,00:14:26,11
2025/04/14,14:00,Inbound Sales - Voice,20,00:02:41.316,11.76%,00:02:10,00:07:02,6
2025/04/14,15:00,Inbound Sales - Voice,20,00:00:59.493,61.11%,00:02:08,00:15:09,1
2025/04/14,16:00,Inbound Sales - Voice,23,00:00:01.460,100.00%,00:01:19,00:10:37,0
2025/04/14,17:00,Inbound Sales - Voice,22,00:00:04.007,100.00%,00:01:18,00:12:19,0
2025/04/14,18:00,Inbound Sales - Voice,7,00:00:01.367,100.00%,00:00:59,00:09:58,0
2025/04/14,19:00,Inbound Sales - Voice,14,00:00:01.529,100.00%,00:03:18,00:16:08,0
2025/04/14,20:00,Inbound Sales - Voice,10,00:00:01.525,100.00%,00:01:25,00:21:51,0
2025/04/14,21:00,Inbound Sales - Voice,4,00:00:01.544,100.00%,00:02:29,00:08:21,0
2025/04/14,22:00,Inbound Sales - Voice,9,00:00:01.529,100.00%,00:01:12,00:15:05,0
2025/04/14,23:00,Inbound Sales - Voice,1,00:00:01.563,100.00%,00:02:55,00:31:17,0
