DATE,HOUR,SKILL,CAMPAIGN,DISPOSITION,INTERACTIONS,CHAT QUEUE TIME,HANDLE TIME,AFTER CHAT WORK
2024/11/18,00:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:03,00:00:41,00:00:00
2024/11/18,00:00,Early Returns - Chat,Chat_DreamCloud,Trace Claim Inquiry,1,00:00:04,00:29:38,00:08:20
2024/11/18,00:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:03,00:04:31,00:01:11
2024/11/18,00:00,Inbound Sales - Chat,Chat_Siena,Sales- Sellable- No- Offer- Made,1,00:00:03,00:11:20,00:00:58
2024/11/18,00:00,Pre-Transit_Cancellations - Chat,Chat_Awara,Cancellation- Saved Pre Transit,1,00:00:07,00:07:30,00:00:00
2024/11/18,00:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Order Details Question,1,00:00:06,00:06:28,00:02:23
2024/11/18,01:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:02,00:01:58,00:00:05
2024/11/18,01:00,EOT Delivered - Chat,Chat_Nectar,Warranty Claim 61 Plus Days_1st,1,00:00:03,00:09:17,00:00:00
2024/11/18,01:00,Inbound Sales - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:02,00:03:49,00:00:03
2024/11/18,01:00,Inbound Sales - Chat,Chat_DreamCloud,Unresolved Interaction,1,00:00:04,00:09:28,00:02:21
2024/11/18,01:00,Inbound Sales - Chat,Chat_Nectar,Amazon Inquiry,1,00:00:02,00:09:49,00:00:00
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,WISMO- Carrier Delay,1,00:00:02,00:03:16,00:00:00
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:03,00:16:52,00:00:00
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,No Response Needed,1,00:00:04,00:16:02,00:14:06
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,Unresponsive Customer,1,00:00:02,00:08:26,00:00:00
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,Return_1st - 30-day adjustment,1,00:00:08,00:38:37,00:14:39
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:05,00:04:31,00:00:05
2024/11/18,02:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:03,00:04:44,00:00:51
2024/11/18,02:00,In Transit - Chat,Chat_DreamCloud,Order Details Question,1,00:00:04,00:34:33,00:02:50
2024/11/18,02:00,Inbound Sales - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:03,00:10:23,00:04:44
2024/11/18,02:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:02,00:08:09,00:01:52
2024/11/18,02:00,Inbound Sales - Chat,Chat_Nectar,Unresponsive Customer,1,00:00:06,00:04:49,00:00:31
2024/11/18,02:00,Inbound Sales - Chat,Chat_DreamCloud,Upsell Not Sold,1,00:00:03,00:19:45,00:01:12
2024/11/18,02:00,Inbound Sales - Chat,Chat_Nectar,Sales- Sellable- Sold,1,00:00:04,00:13:44,00:00:14
2024/11/18,02:00,Inbound Sales - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:02,00:04:47,00:00:06
2024/11/18,02:00,Inbound Sales - Chat,Chat_Nectar,Sales- Sellable- Offer Made- Not Sold,1,00:00:03,00:10:24,00:00:33
2024/11/18,02:00,Pre-Transit_Cancellations - Chat,Chat_Nectar,Cancellation Pre Transit,1,00:00:07,00:29:21,00:00:36
2024/11/18,02:00,Pre-Transit_Cancellations - Chat,Chat_Nectar,Unresponsive Customer,1,00:00:05,00:08:21,00:00:00
2024/11/18,02:00,Pre-Transit_Cancellations - Chat,Chat_Nectar,No Response Needed,1,00:00:06,00:01:11,00:00:00
2024/11/18,03:00,Delivered - Chat,Chat_DreamCloud,Return_2nd - Comfort Issue,1,00:00:06,00:43:42,00:01:21
2024/11/18,03:00,Delivered - Chat,Chat_DreamCloud,Order Details Question,1,00:00:05,00:19:29,00:03:00
2024/11/18,03:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:05,00:05:35,00:01:38
2024/11/18,03:00,Early Returns - Chat,Chat_DreamCloud,Unresolved Interaction,1,00:00:05,00:12:27,00:01:05
2024/11/18,03:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:06,00:00:58,00:00:04
2024/11/18,03:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:05,00:03:45,00:00:00
2024/11/18,03:00,Early Returns - Chat,Chat_Nectar,Order Details Question,1,00:00:06,00:07:59,00:06:05
2024/11/18,03:00,Early Returns - Chat,Chat_Nectar,No Response Needed,1,00:00:04,00:02:22,00:00:00
2024/11/18,03:00,Early Returns - Chat,Chat_Nectar,TEST INTERACTION,1,00:00:04,00:07:28,00:02:09
2024/11/18,03:00,EOT Delivered - Chat,Chat_Nectar,Parts Replacement Inquiry_1st,1,00:00:06,00:06:49,00:00:00
2024/11/18,03:00,EOT Delivered - Chat,Chat_Nectar,EC - Sellable Not Sold,1,00:00:05,00:16:53,00:00:09
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Unresolved Interaction,1,00:00:04,00:22:45,00:00:00
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:03,00:01:07,00:01:04
2024/11/18,03:00,Inbound Sales - Chat,Chat_Nectar,Sales- Sellable- Offer Made- Not Sold,1,00:00:05,00:10:19,00:00:03
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Product Inquiry,1,00:00:04,00:03:46,00:00:55
2024/11/18,03:00,Inbound Sales - Chat,Chat_Nectar,Sales- Sellable- Offer Made- Not Sold,1,00:00:02,00:13:30,00:00:00
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Sales- Sellable- No- Offer- Made,1,00:00:05,00:02:32,00:00:54
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Sales- Sellable- Offer Made- Not Sold,1,00:00:03,00:12:28,00:00:22
2024/11/18,03:00,Inbound Sales - Chat,Chat_Nectar,Sales- Sellable- No- Offer- Made,1,00:00:05,00:22:40,00:18:36
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:05,00:08:50,00:01:07
2024/11/18,03:00,Inbound Sales - Chat,Chat_DreamCloud,Sales- Sellable- No- Offer- Made,1,00:00:05,00:06:32,00:04:26
2024/11/18,03:00,Inbound Sales - Chat,Chat_Nectar,Unresolved Interaction,1,00:00:07,00:14:48,00:02:37
2024/11/18,03:00,Pre-Transit_Cancellations - Chat,Chat_Nectar,Order Details Question,1,00:00:06,00:08:00,00:01:04
2024/11/18,03:00,Pre-Transit_Cancellations - Chat,Chat_DreamCloud,Parts Replacement Inquiry_1st,1,00:00:05,00:30:46,00:18:26
2024/11/18,04:00,Delivered - Chat,Chat_Nectar,Return_1st - No Longer Needed,1,00:02:45,00:58:58,00:13:59
2024/11/18,04:00,Delivered - Chat,Chat_Nectar,Return_2nd - Retained - Final Sale,1,00:00:05,00:57:04,00:05:29
2024/11/18,04:00,Delivered - Chat,Chat_Nectar,Return_2nd - Damage Product,1,00:00:06,00:15:12,00:04:15
2024/11/18,04:00,Delivered - Chat,Chat_Nectar,Return_1st - Retained Firm Topper,1,00:00:02,00:23:25,00:00:00
2024/11/18,04:00,Early Returns - Chat,Chat_Nectar,Order Details Question,1,00:00:04,00:17:42,00:01:51
2024/11/18,04:00,Early Returns - Chat,Chat_Nectar,Return_1st - Comfort Issue,1,00:00:03,00:35:52,00:04:36
2024/11/18,04:00,Early Returns - Chat,Chat_Nectar,Warranty Claim 61 Plus Days_1st,1,00:00:05,00:34:02,00:00:01
2024/11/18,04:00,Early Returns - Chat,Chat_Nectar,Product Inquiry,1,00:00:04,00:07:03,00:00:55
2024/11/18,04:00,Early Returns - Chat,Chat_Cloverlane,Product Inquiry,1,00:00:06,00:13:34,00:00:05
2024/11/18,04:00,EOT Delivered - Chat,Chat_Nectar,Return_1st - Retained - Soft Topper,1,00:00:06,00:25:16,00:02:17
2024/11/18,04:00,In Transit - Chat,Chat_DreamCloud,[Not Defined],1,00:00:01,00:04:21,00:00:01
2024/11/18,04:00,In Transit - Chat,Chat_Nectar,Order Details Question,1,00:00:03,00:32:48,00:05:09
2024/11/18,04:00,In Transit - Chat,Chat_DreamCloud,WISMO- Pre Transit in SLA,1,00:00:04,00:11:40,00:06:07
2024/11/18,04:00,In Transit - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:04,00:14:24,00:03:37
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Unresponsive Customer,1,00:00:04,00:11:25,00:06:34
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:04,00:04:10,00:00:19
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Sales- Sellable- Offer Made- Not Sold,1,00:00:05,00:19:57,00:00:10
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Unresolved Interaction,1,00:00:04,00:07:25,00:01:51
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Unresolved Interaction,1,00:00:04,00:08:35,00:04:31
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:03,00:11:57,00:03:12
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Amazon Inquiry,1,00:00:03,00:17:34,00:00:00
2024/11/18,04:00,Inbound Sales - Chat,Chat_Awara,Sales- Sellable- No- Offer- Made,1,00:00:04,00:29:33,00:16:42
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Product Inquiry,1,00:00:05,00:28:30,00:00:00
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Sales- Sellable- Sold,1,00:00:04,00:30:47,00:03:58
2024/11/18,04:00,Inbound Sales - Chat,Chat_Nectar,Product Inquiry,1,00:00:05,00:13:50,00:03:50
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Abandon,1,00:01:35,00:00:00,00:00:00
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Product Inquiry,1,00:00:03,00:20:00,00:04:19
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Unresponsive Customer,1,00:00:04,00:21:20,00:03:08
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Unresolved Interaction,1,00:00:02,00:17:49,00:00:00
2024/11/18,04:00,Inbound Sales - Chat,Chat_DreamCloud,Sales- Sellable- No- Offer- Made,1,00:02:35,00:09:15,00:04:33
