DATE,HOUR,SKILL,CALLS,Average QUEUE WAIT TIME,SERVICE LEVEL (%rec),Average AFTER CALL WORK TIME,Average HANDLE TIME,ABANDONED count
2024/08/01,09:00,Inbound Sales - Voice,7,00:00:17.566,85.71%,00:00:40,00:21:47,0
2024/08/01,10:00,Inbound Sales - Voice,15,00:00:24.141,78.57%,00:01:05,00:14:49,1
2024/08/01,11:00,Inbound Sales - Voice,16,00:00:05.038,93.75%,00:01:26,00:12:14,0
2024/08/01,12:00,Inbound Sales - Voice,11,00:00:01.726,100.00%,00:01:30,00:12:21,0
2024/08/01,13:00,Inbound Sales - Voice,15,00:00:01.523,100.00%,00:01:26,00:09:29,0
2024/08/01,14:00,Inbound Sales - Voice,12,00:00:01.552,100.00%,00:01:13,00:09:13,0
2024/08/01,15:00,Inbound Sales - Voice,15,00:00:01.552,100.00%,00:00:56,00:11:24,0
2024/08/01,16:00,Inbound Sales - Voice,21,00:00:05.595,95.24%,00:01:41,00:11:44,0
2024/08/01,17:00,Inbound Sales - Voice,10,00:00:01.534,100.00%,00:01:26,00:07:55,0
2024/08/01,18:00,Inbound Sales - Voice,12,00:00:01.632,100.00%,00:00:47,00:07:53,0
2024/08/01,19:00,Inbound Sales - Voice,9,00:00:01.504,100.00%,00:01:52,00:09:24,0
2024/08/01,20:00,Inbound Sales - Voice,5,00:00:01.544,100.00%,00:02:46,00:13:20,0
2024/08/01,21:00,Inbound Sales - Voice,5,00:00:01.556,100.00%,00:01:25,00:20:34,0
2024/08/01,22:00,Inbound Sales - Voice,6,00:00:21.886,83.33%,00:01:07,00:14:36,1
2024/08/01,23:00,Inbound Sales - Voice,3,00:00:48.113,66.67%,00:01:13,00:09:53,1
